brewery_name,address,phone,latitude,longitude
Rosati's Pizza,"800 W.Whitestone Blvd. #B-1, Cedar Park, TX 78613, USA",(512) 767-1313,30.5179343,-97.8379474
Pint and Plow Brewing Co,"332 Clay St, Kerrville, TX 78028, USA",(830) 315-7468,30.0492685,-99.1410428
Hofbrau Beerhall Miami,"943 Lincoln Rd, Miami Beach, FL 33139, USA",(305) 538-8066,25.7908342,-80.1385332
Mellow Mushroom (Brookhaven),"4058 Peachtree Rd NE, Atlanta, GA 30319, USA",(404) 266-1661,33.8613556,-84.3398139
C.K. Browar,"Podwale 7, 31-118 Kraków, Poland",12 428 26 50,50.0634135,19.9326111
Lewis Beer Company,"6120 Enterprise Dr, Pensacola, FL 32505, USA",(850) 434-8612,30.4850695,-87.2647594
Meehan's Public House (Sandy Springs),"227 Sandy Springs Pl NE, Atlanta, GA 30328, USA",(404) 843-8058,33.9206328,-84.3833192
New Ulm Brewing & Beverage Company,"120 7th Ave NE, Sleepy Eye, MN 56085, USA",(507) 359-1919,44.2985994,-94.714614
Cho's,"4300 N Quinlan Park Rd #105, Austin, TX 78732, USA",(512) 266-8700,30.3818333,-97.8849139
Neshaminy Beer & Soda,"1919 Street Rd, Bensalem, PA 19020, USA",(215) 639-4790,40.0969408,-74.9448721
Main Street Deli and Catering,"1000 E 41st St, Austin, TX 78751, USA",(512) 453-8666,30.2998354,-97.7199409
The Coffee Grounds,"3575 FM 967, Buda, TX 78610, USA",(512) 784-3323,30.095252,-97.881861
Milanoâ€™s Ristorante & Bar,"110 E 2nd St, Austin, TX 78701, USA",(512) 608-4488,30.26441,-97.7439277
Michael's Market & Bistro,"221 W Broadway Ave, Moses Lake, WA 98837, USA",(509) 765-4177,47.129723,-119.281126
Flatwater Restaurant,"832 E Westfield Blvd, Indianapolis, IN 46220, USA",(317) 257-5466,39.8708654,-86.1435933
Bobtown Brewhouse & Grill,"220 W Main St, Roberts, WI 54023, USA",(715) 338-1046,44.9834698,-92.5561076
Gas Station Kitchen + Bar,"288 E Main St, Hummelstown, PA 17036, USA",(717) 566-5086,40.265941,-76.7003088
Effing Brew Company,"221 W Jefferson Ave, Effingham, IL 62401, USA",(217) 347-2337,39.1211803,-88.5440054
Marshall's Wine & Liquor,"200 Congress Ave, Austin, TX 78701, USA",(512) 480-9463,30.2648761,-97.7442214
Sticks & Stones,"9311 N FM 620, Austin, TX 78726, USA",(512) 820-6665,30.4331705,-97.8377576
Tony's Package Store,"729 5th Ave N, Texas City, TX 77590, USA",(409) 941-9900,29.3889958,-94.9051976
Five Seasons North,"3655 Old Milton Pkwy, Alpharetta, GA 30005, USA",(770) 521-5551,34.0638106,-84.2528617
Giant Jones Brewing Company,"931 East Main Street Entrance on, S Brearly St Suite 9, Madison, WI 53703, USA",(608) 620-5172,43.0824401,-89.3702867
Growler Room - South,"6800 Burnet Rd, Austin, TX 78757, USA",(512) 748-7852,30.3444893,-97.7383968
DuClaw Brewing Company,"8901 Yellow Brick Rd ste b, Rosedale, MD 21237, USA",(443) 559-9900,39.3402079,-76.479151
One Stop Beverage Mart,"4495 E Cumberland Rd, Bluefield, WV 24701, USA",(304) 325-7523,37.2691942,-81.1768
Westside Wines,"1872 Buenaventura Blvd, Redding, CA 96001, USA",(530) 410-8735,40.555807,-122.3956121
Travelers Rest Craft Beer Station / BP,"11 Frontage Rd, Travelers Rest, SC 29690, USA",(864) 834-2318,34.9528378,-82.4402187
The White Horse,"500 Comal St, Austin, TX 78702, USA",(512) 553-6756,30.2626002,-97.726922
Van Houzen Brewing Company,"6602 Ginger Ave, Newton, IA 50208, USA",(319) 594-9684,41.7120624,-93.1477746
Greenport Harbor Brewery,"42155 Main Rd, Peconic, NY 11958, USA",(631) 477-1100,41.0413754,-72.4545094
Aman's Beer + Wine,"26210 W Loomis Rd, Wind Lake, WI 53185, USA",(262) 895-2921,42.8296554,-88.1540612
Roland's,"1311 Chestnut Ave, Austin, TX 78702, USA",(512) 499-8833,30.2762324,-97.7160916
Joe's Wines & Liquors,"1681 Poplar Ave, Memphis, TN 38104, USA",(901) 725-4252,35.1427976,-90.0046868
Mirabelle Tavern at Three Village Inn,"150 Main St, Stony Brook, NY 11790, USA",(631) 751-0555,40.9191498,-73.1480191
Catraio - Craft Beer Shop,"R. de Cedofeita 256, 4050-174 Porto, Portugal",22 201 0320,41.151108,-8.617305
Trader Joe's,"211 Walter Seaholm Dr Ste 100, Austin, TX 78701, USA",(512) 474-2263,30.2674966,-97.7527899
Ward's Supermarket,"515 NW 23rd Ave, Gainesville, FL 32609, USA",(352) 372-1741,29.6736651,-82.3297844
The Shanty,"38985 US-41, Wadsworth, IL 60083, USA",(847) 336-0262,42.4284872,-87.9375628
The Gallery Brewery,"143 Kent St, Portland, MI 48875, USA",(517) 526-9060,42.86981,-84.9028621
Stadsbrouwerij De Hemel,"Franseplaats 1, 6511 VS Nijmegen, Netherlands",024 360 6167,51.848794,5.8643213
Nic L Inn,"135 N Water St, Poughkeepsie, NY 12601, USA",(845) 452-5649,41.7117367,-73.9378653
Flannery's Bar and Restaurant,"425 E Wells St, Milwaukee, WI 53202, USA",(414) 278-8586,43.0411057,-87.9059349
Blackstone Brewing Company,"2312 Clifton Ave, Nashville, TN 37209, USA",(615) 320-9002,36.158232,-86.810148
Brick & Barley Bar & Restaurant,"9 N 3rd St, Grand Forks, ND 58203, USA",(701) 757-4012,47.9253807,-97.0312195
Hops Supply Co.,"5400 Oleander Dr, Wilmington, NC 28403, USA",(910) 833-8867,34.2078024,-77.8603617
Three Wise Monks Pub,"142 Outwater Ln, Garfield, NJ 07026, USA",(201) 757-8012,40.8814537,-74.1125507
Heroes & Legends,"131 Yale Ave, Claremont, CA 91711, USA",(909) 621-6712,34.0953534,-117.7181114
Gary's Wine & Marketplace,"1308 NJ-23, Wayne, NJ 07470, USA",(973) 633-3900,40.9288417,-74.2680306
Sactown Union Brewery,"1210 66th St B, Sacramento, CA 95819, USA",(916) 272-4472,38.5548927,-121.4265844
Pies & Pints,"11835 Jollyville Rd, Austin, TX 78759, USA",(512) 270-4740,30.4229087,-97.7553571
Corley's Market & Grill,"1220 Hwy 72 W, Greenwood, SC 29649, USA",(864) 223-1144,34.1952463,-82.1919677
Bricktown Brewery,"1 N Oklahoma Ave, Oklahoma City, OK 73104, USA",(405) 232-2739,35.466609,-97.510868
Williamsville Eatery,"26 Dover Rd, Newfane, VT 05345, USA",(802) 365-9600,42.9470344,-72.6778789
The Farm Brewery at Broad Run,"16015 John Marshall Hwy, Broad Run, VA 20137, USA",(703) 753-3548,38.818322,-77.66862
PaPPo's Pizzeria & Brew Co.,"3690 Forest Park Ave, St. Louis, MO 63108, USA",(314) 833-3171,38.6335705,-90.2376317
Jersey Street Liquors,"928 Jersey St, Denver, CO 80220, USA",(303) 322-0121,39.7309782,-104.9190922
Nortons Brewing Company,"125 N. St. Francis St, Wichita, KS 67202, USA",(316) 425-9009,37.6869659,-97.3320192
Brooklyn Ale House,"356 6th Ave, Brooklyn, NY 11215, USA",(718) 788-1756,40.6706291,-73.9820343
Central Market,"4477 S Lamar Blvd, Austin, TX 78745, USA",(512) 899-4300,30.2312124,-97.7971843
Whole Foods Market,"525 N Lamar Blvd, Austin, TX 78703, USA",(512) 542-2200,30.2705496,-97.7531762
Wolff's Biergarten,"106 Montgomery St, Syracuse, NY 13202, USA",(315) 299-7789,43.0501268,-76.1495237
Beer & Cheese Social House,"6500 N Lamar Blvd, Austin, TX 78752, USA",(512) 222-8781,30.3329924,-97.7225884
Fantasy Brewmasters,"950 Commercial Blvd, Naples, FL 34104, USA",(239) 206-3247,26.1618892,-81.7532783
Slater's Hardware,"1141 N Memorial Dr, Lancaster, OH 43130, USA",(740) 654-2204,39.7271088,-82.6103443
Sebago Brewing Company,"201 Southborough Dr, Scarborough, ME 04074, USA",(207) 874-2337,43.628,-70.3441667
Castle Grill / Red Castle Brewery & Distillery,"Drummygar Mains, Carmyllie, Angus DD11 2RA, UK",01241 860516,56.583915,-2.728674
Southern Peak Brewery,"950 Windy Rd #100, Apex, NC 27502, USA",(919) 623-0827,35.7461554,-78.8441776
Aubree's Saloon / Sticks,"39 E Cross St #1972, Ypsilanti, MI 48198, USA",(734) 483-1873,42.2461322,-83.6096087
Bliss Ave Brewing Company,"401 Park Row, Bowling Green, KY 42101, USA",(270) 901-9966,36.9932146,-86.4421576
The Village Wine Cellar,"249 Jericho Turnpike, Bellerose, NY 11001, USA",(516) 326-6780,40.7263207,-73.7161608
Oyster and Seafood,"1400 S Congress Ave, Austin, TX 78704, USA",(512) 291-7300,30.2499585,-97.7500913
The Spirited Gourmet,"448 Common St, Belmont, MA 02478, USA",(617) 489-9463,42.381227,-71.174598
Escape Craft Brewery,"721 Nevada St #401, Redlands, CA 92373, USA",(909) 713-3727,34.0613884,-117.2185973
Buy Rite of Brick,"989 Burnt Tavern Rd, Brick Township, NJ 08724, USA",(732) 785-5959,40.093557,-74.125694
Chesapeake Bay Brewing Company,"114 West St, Annapolis, MD 21401, USA",(410) 268-0000,38.9780662,-76.4974715
Elephant & Castle,"111W W Adams St, Chicago, IL 60603, USA",(312) 236-6656,41.8792538,-87.6313009
Town Landing Market,"269 Foreside Rd, Falmouth, ME 04105, USA",(207) 781-2128,43.734528,-70.2079569
Cerveza Urbana,"Av Reforma 2064, Nueva, 21100 Mexicali, B.C., Mexico",686 554 5253,32.6655803,-115.4536579
Indigo Kitchen & Alehouse,"2902 164th St SW F3, Lynnwood, WA 98087, USA",(425) 741-8770,47.8492512,-122.272831
Varners Restaurant & Tavern,"725 Concord Rd SE, Smyrna, GA 30082, USA",(678) 388-1733,33.8726143,-84.533421
Pals Brewing Company,"4520 S Buffalo Bill Ave, North Platte, NE 69101, USA",(308) 221-6715,41.0931925,-100.7927574
Oxbow Brewing Company,"274 Jones Woods Rd, Newcastle, ME 04553, USA",(207) 315-5962,44.0828528,-69.5636638
The Vine,"3700 Convict Hill Rd, Austin, TX 78749, USA",(512) 588-3020,30.2113591,-97.8341298
Westside Brewing Company,"3044 Harrison Ave, Cincinnati, OH 45211, USA",(513) 661-2337,39.1496205,-84.5987949
Nine East Wine Emporium,"6 Worcester St, Natick, MA 01760, USA",(508) 653-6221,42.3040295,-71.3265307
Franklin's Pub & Grill,"3259 Cresson St, Philadelphia, PA 19129, USA",(267) 336-7420,40.0109099,-75.1893851
Holiday Wine & Liquor,"1912 N 10th St, McAllen, TX 78501, USA",(956) 631-4707,26.2210125,-98.2267767
Toast Wine and Beverage,"417 Furys Ferry Rd, Martinez, GA 30907, USA",(706) 922-8627,33.531553,-82.074771
El Toro Gourmet Meats,"23522 El Toro Rd, Lake Forest, CA 92630, USA",(949) 855-0215,33.621246,-117.698454
Akkurat,"Hornsgatan 18, 118 20 Stockholm, Sweden",08-644 00 15,59.3198654,18.068681
The Meat House,"100 E Louise St, Bainbridge, GA 39819, USA",(229) 243-7900,30.8934949,-84.5761961
Puempel's Olde Tavern,"18 6th Ave, New Glarus, WI 53574, USA",(608) 527-2045,42.8147142,-89.6330719
White Elephant Pub,"1855 Gulf Blvd #5729, Englewood, FL 34223, USA",(941) 475-6801,26.9229778,-82.3596543
Rouses Market #27,"2701 Airline Dr, Metairie, LA 70001, USA",(504) 828-4101,29.974628,-90.1504027
Jacs Dining & Tap House,"2611 Monroe St, Madison, WI 53711, USA",(608) 819-6361,43.0575442,-89.4281208
Milwaukee Brat House,"1013 N Old World 3rd St, Milwaukee, WI 53203, USA",(414) 273-8709,43.0432973,-87.9149207
Harlem Shake - East,"100 W 124th St, New York, NY 10027, USA",(212) 222-8300,40.80711,-73.9463378
Stick City Brewing,"109 Irvine St, Mars, PA 16046, USA",(724) 687-7849,40.6954987,-80.0095293
Wild Mike's,"4498 Harrison Ave, Cincinnati, OH 45211, USA",(513) 598-1616,39.1644444,-84.6297222
F-Town Brewing Co.,"22 4th St NE, Faribault, MN 55021, USA",(507) 331-7677,44.2949862,-93.2673068
Arts District Brewing Co.,"828 Traction Ave, Los Angeles, CA 90013, USA",(213) 519-5887,34.0447139,-118.2352867
Indigo Casual Gourmet Cafe,"2637 Erie Ave, Cincinnati, OH 45208, USA",(513) 321-9952,39.1394084,-84.4439944
Mohegan Cafe and Brewery,"213 Water St, New Shoreham, RI 02807, USA",(401) 466-5911,41.1734542,-71.558859
Kevin's Sports Pub & Restaurant,"27 Main St, North Bennington, VT 05257, USA",(802) 442-0122,42.9309455,-73.2423947
Pop's Package,"20 Bridge St, Northampton, MA 01061, USA",(413) 585-8685,42.321324,-72.628145
Molly's Pub Conroe,"901 N Loop 336 W, Conroe, TX 77301, USA",(936) 441-6167,30.335363,-95.469084
Flint River Package Store,"813 16th Ave E, Cordele, GA 31015, USA",(229) 273-2778,31.9640521,-83.769519
Chagrin Beer Company,"8706 Cedar Rd, Chesterland, OH 44026, USA",(216) 645-1739,41.5077851,-81.3314002
Ipswich Ale Brewery,"2 Soffron Ln, Ipswich, MA 01938, USA",(978) 356-3182,42.6810402,-70.8413999
Randazzo's Pizza & Beer,"2395 York Rd #19, Jamison, PA 18929, USA",(215) 343-4555,40.2593879,-75.0849406
Badger Spirits,"1507 Center Ave, Janesville, WI 53546, USA",(608) 741-9100,42.6586493,-89.0307042
Working Man Brewing Company,"5542 Brisa St suite f, Livermore, CA 94550, USA",(925) 269-9622,37.697526,-121.725189
Karl Strauss Brewing Company - Downtown San Diego,"1157 Columbia St, San Diego, CA 92101, USA",(619) 234-2739,32.7174373,-117.1672395
Strange Brew Tavern,"88 Market St, Manchester, NH 03101, USA",(603) 666-4292,42.990615,-71.4652575
Miskatonic Brewing Company,"1000 N Frontage Rd c, Darien, IL 60561, USA",(630) 541-9414,41.7343219,-87.9705484
City Beer Store,"1148 Mission St, San Francisco, CA 94103, USA",(415) 503-1033,37.7784715,-122.4121645
Half Time Rec,"1013 Front Ave, St Paul, MN 55103, USA",(651) 488-8245,44.9704103,-93.1429704
TJ'S Beverage & Tobacco,"306 E Main St, Carrboro, NC 27510, USA",(919) 968-5000,35.9105004,-79.0681688
Merlin's,"1510 Toomey Rd, Austin, TX 78704, USA",(512) 630-2992,30.2640152,-97.758836
"Boda ""very Thai"" Kitchen + Bar","671 Congress St, Portland, ME 04101, USA",(207) 347-7557,43.6533285,-70.266591
Busted Knuckle Brewery,"303 1st Ave S, Glasgow, MT 59230, USA",(406) 228-2277,48.1936882,-106.6337967
Jackson Tavern,"216 W Jackson Blvd, Chicago, IL 60606, USA",(312) 877-5373,41.8786257,-87.6346489
Higherground Brewing Co.,"518 N 1st St, Hamilton, MT 59840, USA",(406) 375-5204,46.2523454,-114.155903
Kaler's Restaurant,"48 Commercial St, Boothbay Harbor, ME 04538, USA",(207) 633-5839,43.8501914,-69.628771
Community Pie,"850 Market St, Chattanooga, TN 37402, USA",(423) 486-1743,35.0464641,-85.3091383
Brewstone Beer Company,"3913 Todd Ln #607, Austin, TX 78744, USA",(512) 707-0099,30.2111852,-97.7360738
Stickman Brews,"326 N Lewis Rd #240, Royersford, PA 19468, USA",(484) 938-5900,40.1953865,-75.533478
Goodfriend Package,"1155 Peavy Rd, Dallas, TX 75218, USA",(972) 807-2899,32.8391183,-96.6976399
Chicago Culinary Kitchen,"773 N Quentin Rd, Palatine, IL 60067, USA",(847) 987-0369,42.1241667,-88.0619444
Nickerson Street Saloon,"318 Nickerson St, Seattle, WA 98109, USA",(206) 284-8819,47.6466667,-122.3502778
Prime 16 Tap House + Burgers,"464 Boston Post Rd, Orange, CT 06477, USA",(203) 553-9616,41.2568582,-73.0129981
Hoppy Brewing Co.,"1022 2nd St, Sacramento, CA 95814, USA",(916) 451-4677,38.5826129,-121.5045656
Scotty's Beer & Liquor,"N56W14108 Silver Spring Dr, Menomonee Falls, WI 53051, USA",(262) 790-1090,43.1203582,-88.0866898
Crafty Beer Shop - Fairview Road,"8450 Honeycutt Rd, Raleigh, NC 27615, USA",(919) 703-0874,35.8948477,-78.6220294
Beverage Busters,"2055 Jericho Turnpike, Commack, NY 11725, USA",(631) 543-1872,40.845157,-73.2744722
BREW Pub & Kitchen,"6015 Dillard Cir A, Austin, TX 78752, USA",(512) 524-0323,30.3259178,-97.7168271
Destin Brewery,"505 Mountain Dr N, Destin, FL 32541, USA",(850) 842-4757,30.3946865,-86.4989299
Brokerage Brewing Company,"2516 Covington St, West Lafayette, IN 47906, USA",(765) 233-2767,40.4540917,-86.914075
Redwood Bar & Grill,"316 W 2nd St, Los Angeles, CA 90012, USA",(213) 680-2600,34.0527311,-118.2474087
Starkey's Lookout,"5428 NY-14, Dundee, NY 14837, USA",(607) 678-4043,42.501164,-76.9252844
BJ's Restaurant & Brewhouse,"5207 Brodie Ln #300, Sunset Valley, TX 78745, USA",(512) 892-3800,30.230533,-97.8149777
Park Place Liquor,"1000 Park Pl, Coronado, CA 92118, USA",(619) 435-0116,32.6852167,-117.1805028
Fern Street Gourmet,"1708 Fern St #2605, Alexandria, VA 22302, USA",(703) 931-1234,38.8295593,-77.0850126
Roger Wilco,"3560 Dallas Pkwy, Frisco, TX 75034, USA",(469) 803-3654,33.1078215,-96.821618
Belmont Beverage - Dupont Crossing,"3718 E Dupont Rd, Fort Wayne, IN 46825, USA",(260) 969-1010,41.1779733,-85.0973559
3 Daughters Brewing,"222 22nd St S, St. Petersburg, FL 33712, USA",(727) 495-6002,27.7691667,-82.6627778
Crown Wine And Spirits,"1320 N Federal Hwy, Pompano Beach, FL 33062, USA",(954) 941-2608,26.2487986,-80.100626
Finn McCool's Irish Pub,"3701 Banks St, New Orleans, LA 70119, USA",(504) 486-9080,29.9695544,-90.0992227
Mark's Feed Store,"10316 Dixie Hwy, Valley Station, KY 40272, USA",(502) 933-7707,38.1045037,-85.8693432
Calico House Restaurant,"36600 Ghost Town Rd, Yermo, CA 92398, USA",(760) 254-1970,34.948581,-116.8648788
Vita Amandi,"Köpmansgatan 11, 571 32 Nässjö, Sweden",0380-156 00,57.6550596,14.6964461
Central Liquors,"Hancock Center, 1000 E 41st St Suite 810, Austin, TX 78751, USA",(512) 451-7400,30.3010008,-97.7207323
Kegler's Brew Pub,"735 Chestnut Ridge Rd STE A, Morgantown, WV 26505, USA",(304) 598-9698,39.6583543,-79.9601074
The Half Door,"270 Sisson Ave, Hartford, CT 06105, USA",(860) 232-7827,41.7663458,-72.7070736
White Birch Brewing,"460 Amherst St, Nashua, NH 03063, USA",(603) 402-4444,42.7888712,-71.5194431
Laurel Tavern,"1920 Greenville Ave, Dallas, TX 75206, USA",(469) 399-0613,32.8135565,-96.7699757
Mr. A's Liquor World,"855 N Quentin Rd, Palatine, IL 60067, USA",(847) 991-8334,42.1259243,-88.0622792
Capital Brewery,"7734 Terrace Ave, Middleton, WI 53562, USA",(608) 836-7100,43.094876,-89.51625
Scotchtown Craft,"741 NY-211 E, Middletown, NY 10941, USA",(845) 692-7360,41.4666631,-74.3563046
West-O Bottle Shop & Bar,"12611 Ocean Gateway, Ocean City, MD 21842, USA",(410) 213-2079,38.338974,-75.113718
Parkhill's South,"10018 S Memorial Dr, Tulsa, OK 74133, USA",(918) 528-6700,36.0186182,-95.8873529
BJ's Restaurant & Brewery,"5207 Brodie Ln #300, Sunset Valley, TX 78745, USA",(512) 892-3800,30.230533,-97.8149777
Starboard Brewing Company,"151 N 3rd Ave, Sturgeon Bay, WI 54235, USA",(920) 818-1062,44.835523,-87.377983
A&M Wine and Beer Supplies,"202 S Main St a, Washington, PA 15301, USA",(724) 222-9463,40.1676699,-80.2443539
Spirits Food & Friends,"1200 Texas Ave, Alexandria, LA 71301, USA",(318) 445-4491,31.2903631,-92.4739544
TGI Fridays,"9600 S IH 35 Frontage Rd Building A, Austin, TX 78748, USA",(512) 291-1355,30.1600123,-97.7905213
DMK Burger Bar,"2954 N Sheffield Ave, Chicago, IL 60657, USA",(773) 360-8686,41.9360335,-87.6541135
Crooked Spider,"Rijksstraatweg 60, 2241 BW Wassenaar, Netherlands",06 14635872,52.1509492,4.4334677
Augusta Brewing Company,"5521 Water St, Augusta, MO 63332, USA",(636) 482-2337,38.5705184,-90.8804391
Brew Hub Taproom,"5656 Oakland Ave, St. Louis, MO 63110, USA",(314) 833-5453,38.6301194,-90.2813444
Wit's End Brewing Company,"1330 Zuni St, Denver, CO 80204, USA",(303) 459-4379,39.737249,-105.0147572
Croxley's Ales,"190 Main St, Farmingdale, NY 11735, USA",(516) 293-7700,40.7345479,-73.4462876
Alobar Restaurant,"162 Cumberland St, Toronto, ON M5R 1A8, Canada",(416) 961-1222,43.6700942,-79.3935826
Birrificio Abusivo,"Via Venticinque Marzo, 29/A, 47895 Domagnano, San Marino",0549 903171,43.9503536,12.4653781
Super Owl Brewing,"Suite 121, 2614, 1260 Lake Blvd, Davis, CA 95616, USA",(530) 746-5992,38.5533413,-121.7869966
New Milford Spirit Shoppe,"16 Prospect Hill Road ~, CT-67, New Milford, CT 06776, USA",(860) 354-7712,41.5737501,-73.4062231
MGM Liquor Warehous,"850 Menard St, Winona, MN 55987, USA",(507) 452-1099,44.032837,-91.618832
Mehuron's Market,"5121 Main St # 6, Waitsfield, VT 05673, USA",(802) 496-3700,44.1840628,-72.8352987
Oyster Bar Brewery,"119 E Hutchison St, San Marcos, TX 78666, USA",(512) 878-8862,29.884528,-97.940884
New Mexico Hard Cider Taproom,"505 Cerrillos Rd a, Santa Fe, NM 87501, USA",(505) 231-0632,35.6820639,-105.9449266
Uproar Brewing Co.,"439 S 1st St, San Jose, CA 95113, USA",(408) 673-2266,37.3292884,-121.8859228
Proper Brewing Co,"857 S Main St, Salt Lake City, UT 84111, USA",(801) 953-1707,40.7505683,-111.8907713
Marketime Foods,"4416 Fremont Ave N, Seattle, WA 98103, USA",(206) 632-8958,47.660484,-122.3497153
